Ambient Temperature(C): 23.8
Ambient Pressure(in Hg): 
Time(s)	T1(Deg C)	T2(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)

0.00	24.20	25.00	25.00	24.50	0.00
0.10	24.50	25.10	24.70	24.50	0.00
0.20	24.50	25.10	24.70	24.40	0.00
0.30	24.50	24.90	24.60	24.50	0.00
0.40	24.60	25.10	24.60	24.50	0.00
0.50	24.60	25.10	25.00	24.50	0.00
0.60	24.30	25.10	24.40	24.50	0.00
0.70	24.60	25.30	24.70	24.80	0.00
0.80	24.70	25.00	24.70	24.50	0.00
0.90	24.70	25.00	24.60	24.50	0.00
1.00	24.90	25.10	24.90	24.40	0.00
1.10	24.90	25.10	24.90	24.70	0.00
1.20	24.30	25.10	25.00	24.80	0.00
1.30	24.70	25.00	25.00	24.80	0.00
1.40	24.70	25.00	25.00	24.80	0.00
1.50	24.40	24.90	24.90	24.70	0.00
1.60	24.60	25.20	25.00	24.50	0.00
1.70	24.60	25.20	25.00	24.40	0.00
1.80	24.30	25.10	24.70	24.70	0.00
1.90	24.70	25.10	25.50	24.50	0.00
2.00	24.70	25.10	24.90	24.50	0.00
2.10	24.40	25.20	24.70	24.50	0.00
2.20	24.60	25.00	24.70	24.50	0.00
2.30	24.60	25.00	25.20	24.70	0.00
2.40	24.60	25.00	24.60	24.70	0.00
2.50	24.60	25.00	25.00	24.50	0.00
2.60	24.10	25.00	25.20	24.80	0.00
2.70	24.40	25.00	24.90	24.70	0.00
2.80	24.40	25.00	24.70	24.40	0.00
2.90	24.30	25.10	24.90	24.40	0.00
3.00	24.10	25.00	24.60	24.70	0.00
3.10	24.10	25.00	24.60	24.70	0.00
3.20	24.60	25.20	24.90	24.40	0.00
3.30	24.60	25.20	24.70	24.80	0.00
3.40	24.40	25.00	24.70	24.80	0.00
3.50	24.40	25.00	24.90	24.50	0.00
3.60	24.60	25.10	25.00	24.70	0.00
3.70	24.60	25.10	24.90	24.40	0.00
3.80	24.50	25.10	24.90	24.20	0.00
3.90	24.60	25.10	24.70	24.50	0.00
4.00	24.60	25.10	24.70	24.50	0.00
4.10	24.20	25.20	25.30	24.70	0.00
4.20	24.60	25.00	24.90	24.40	0.00
4.30	24.70	25.00	24.40	24.40	0.00
4.40	24.70	25.00	24.70	24.50	0.00
4.50	24.60	25.00	24.90	24.50	0.00
4.60	24.70	25.10	24.90	24.80	0.00
4.70	24.70	25.10	24.90	24.70	0.00
4.80	24.20	25.00	24.70	24.70	0.00
4.90	24.20	25.00	24.70	24.70	0.00
5.00	24.50	25.10	24.90	24.20	0.00
5.10	24.30	25.10	24.60	24.80	0.00
5.20	24.70	25.00	24.60	24.50	0.00
5.30	24.70	25.00	24.60	24.50	0.00
5.40	24.30	25.00	24.70	24.70	0.00
5.50	24.30	25.00	24.90	24.70	0.00
5.60	24.20	25.20	24.70	24.70	0.00
5.70	24.20	24.90	24.30	24.50	0.00
5.80	24.60	25.00	24.60	24.50	0.00
5.90	24.60	25.00	24.90	24.80	0.00
6.00	24.30	25.10	24.70	24.50	0.00
6.10	24.20	25.10	24.90	24.50	0.00
6.20	24.20	25.10	24.90	24.40	0.00
6.30	24.30	25.20	25.00	24.80	0.00
6.40	24.70	25.10	24.90	24.40	0.00
6.50	24.70	25.10	25.00	25.00	0.00
6.60	24.10	25.10	25.00	25.00	0.00
6.70	24.70	25.10	24.70	23.30	0.00
6.80	24.70	25.10	24.70	24.40	0.00
6.90	24.40	25.10	24.70	24.20	0.00
7.00	24.40	25.00	24.60	24.50	0.00
7.10	24.40	25.00	24.60	24.70	0.00
7.20	24.60	25.10	24.90	24.50	0.00
7.30	24.60	25.10	25.00	24.50	0.00
7.40	24.20	25.00	24.70	24.70	0.00
7.50	24.80	25.00	24.70	24.70	0.00
7.60	24.80	25.00	25.20	24.50	0.00
7.70	24.20	25.20	25.00	24.70	0.00
7.80	24.80	25.20	24.70	25.20	0.00
7.90	24.80	25.20	25.00	24.50	0.00
8.00	24.70	25.00	24.70	24.40	0.00
8.10	24.70	25.00	24.30	24.50	0.00
8.20	24.40	25.00	24.60	24.80	0.00
8.30	24.40	25.20	24.90	24.50	0.00
8.40	24.40	25.20	24.90	24.50	0.00
8.50	24.30	25.10	24.70	24.50	0.00
8.60	24.80	25.00	24.90	24.20	0.00
8.70	24.80	25.00	25.00	24.40	0.00
8.80	24.30	25.10	24.70	23.20	0.00
8.90	24.30	25.10	24.90	24.40	0.00
9.00	24.20	25.00	25.00	24.20	0.00
9.10	24.90	25.00	24.70	24.80	0.00
9.20	24.90	25.00	24.90	24.70	0.00
9.30	24.70	25.20	24.90	24.70	0.00
9.40	24.40	25.00	24.70	24.70	0.00
9.50	24.50	25.10	24.90	24.70	0.00
9.60	24.50	25.10	24.90	24.70	0.00
9.70	24.60	25.10	25.00	24.20	0.00
9.80	24.60	25.10	24.90	24.40	0.00
9.90	24.50	25.00	24.90	24.50	0.00
10.00	23.90	25.20	24.90	24.70	0.00
10.10	23.90	25.20	25.00	24.20	0.00
10.20	24.60	25.00	25.00	24.20	0.00
10.30	24.50	25.00	25.00	24.40	0.00
10.40	24.50	25.00	24.90	24.40	0.00
10.50	24.50	25.00	24.90	24.50	0.00
10.60	24.40	25.10	24.90	24.50	0.00
10.70	24.40	25.10	25.00	24.50	0.00
10.80	24.30	25.20	24.90	24.40	0.00
10.90	24.60	25.10	24.90	23.80	0.00
11.00	24.60	25.10	25.00	24.70	0.00
11.10	24.90	25.10	25.00	24.70	0.00
11.20	24.30	24.90	24.40	24.50	0.00
11.30	24.20	25.00	25.00	24.40	0.00
11.40	24.20	25.00	24.90	25.20	0.00
11.50	24.30	25.10	25.00	24.50	0.00
11.60	24.30	25.10	25.00	24.20	0.00
11.70	24.70	24.90	24.70	24.40	0.00
11.80	24.20	25.10	24.60	24.40	0.00
11.90	24.20	25.10	24.90	24.70	0.00
12.00	24.30	25.20	24.90	24.70	0.00
12.10	24.40	25.30	24.90	24.50	0.00
12.20	24.60	25.00	25.00	24.70	0.00
12.30	24.60	25.00	24.90	24.40	0.00
12.40	24.60	25.00	25.00	24.20	0.00
12.50	24.60	25.00	24.90	24.50	0.00
12.60	24.40	25.00	24.70	24.20	0.00
12.70	24.60	25.10	25.00	24.50	0.00
12.80	24.70	25.00	25.20	24.70	0.00
12.90	24.70	25.00	24.60	24.50	0.00
13.00	24.60	25.00	25.00	24.70	0.00
13.10	24.60	25.00	24.90	24.70	0.00
13.20	24.60	25.00	24.70	24.50	0.00
13.30	24.30	25.00	24.70	24.80	0.00
13.40	24.90	25.10	24.60	24.50	0.00
13.50	24.90	25.10	24.60	24.80	0.00
13.60	24.70	24.90	24.60	24.70	0.00
13.70	24.70	24.90	24.60	24.70	0.00
13.80	24.20	25.10	24.70	24.70	0.00
13.90	24.20	25.10	25.00	25.00	0.00
14.00	24.70	25.00	23.80	24.40	0.00
14.10	24.70	25.00	25.00	24.70	0.00
14.20	24.40	25.10	24.70	24.70	0.00
14.30	24.40	25.10	25.00	24.50	0.00
14.40	24.40	25.10	24.90	24.70	0.00
14.50	24.60	25.10	24.90	24.50	0.00
14.60	24.60	25.10	24.90	24.50	0.00
14.70	24.60	25.00	24.70	24.70	0.00
14.80	24.50	25.00	25.00	24.70	0.00
14.90	24.40	25.00	24.70	24.80	0.00
15.00	24.40	25.00	24.30	24.70	0.00
15.10	24.30	25.10	24.70	24.40	0.00
15.20	24.60	25.20	24.40	24.70	0.00
15.30	24.60	25.20	24.70	24.40	0.00
15.40	24.40	25.10	24.90	24.50	0.00
15.50	24.50	25.20	25.00	24.70	0.00
15.60	24.50	25.20	24.90	24.20	0.00
15.70	24.50	25.00	25.20	24.70	0.00
15.80	24.30	25.10	25.30	24.80	0.00
15.90	24.30	25.10	25.00	24.20	0.00
16.00	24.50	25.00	24.90	24.50	0.00
16.10	24.40	24.90	24.70	24.20	0.00
16.20	24.40	24.90	24.90	24.40	0.00
16.30	24.60	25.10	24.90	24.80	0.00
16.40	24.50	25.00	24.90	24.80	0.00
16.50	24.50	25.00	24.60	24.50	0.00
16.60	24.40	25.00	24.90	24.50	0.00
16.70	24.50	25.10	24.70	24.50	0.00
16.80	24.50	25.10	24.70	24.70	0.00
16.90	24.50	25.10	24.60	24.80	0.00
17.00	23.60	25.00	26.60	24.70	0.00
17.10	23.60	25.00	26.60	24.70	0.00
17.20	24.70	25.10	26.30	24.40	0.00
17.30	24.70	25.10	26.30	24.40	0.00
17.40	24.80	25.10	26.10	24.50	0.00
17.50	25.00	25.00	27.00	24.50	0.00
17.60	25.00	25.00	27.00	24.50	0.00
17.70	25.20	25.00	26.90	24.50	0.00
17.80	25.20	25.00	27.00	25.00	0.00
17.90	25.20	25.00	26.60	24.20	0.00
18.00	25.20	25.00	26.90	24.70	0.00
18.10	25.20	25.00	26.30	24.50	0.00
18.20	25.20	25.10	27.00	24.20	0.00
18.30	25.20	25.00	27.00	24.20	0.00
18.40	25.20	25.00	26.60	24.50	0.00
18.50	25.20	25.00	26.60	24.70	0.00
18.60	25.10	25.00	27.30	24.80	0.00
18.70	25.10	25.00	26.70	24.10	0.00
18.80	25.10	25.00	26.30	24.50	0.00
18.90	25.10	25.10	26.60	24.80	0.00
19.00	25.10	25.10	26.70	24.50	0.00
19.10	25.10	25.10	26.60	24.20	0.00
19.20	25.20	25.20	26.60	24.20	0.00
19.30	24.90	25.00	26.40	24.70	0.00
19.40	24.90	25.00	26.40	24.20	0.00
19.50	25.00	25.10	26.40	24.40	0.00
19.60	24.80	25.00	26.60	24.50	0.00
19.70	24.80	25.00	26.40	24.50	0.00
19.80	24.90	24.90	26.60	24.40	0.00
19.90	24.90	25.10	26.60	24.40	0.00
20.00	24.90	25.10	26.40	24.40	0.00
20.10	24.80	25.00	26.40	24.40	0.00
20.20	24.90	25.00	26.30	24.40	0.00
20.30	24.90	25.00	27.20	24.70	0.00
20.40	24.80	25.00	26.60	24.50	0.00
20.50	24.80	25.10	26.90	24.40	0.00
20.60	24.80	25.10	26.40	24.80	0.00
20.70	24.70	25.20	26.70	24.70	0.00
20.80	24.80	25.10	26.60	24.80	0.00
20.90	24.80	25.10	26.60	24.70	0.00
21.00	24.70	24.90	26.60	24.70	0.00
21.10	24.80	25.10	26.40	24.50	0.00
21.20	24.80	25.10	26.90	24.70	0.00
21.30	24.90	25.10	26.40	25.00	0.00
21.40	24.70	24.90	26.40	24.20	0.00
21.50	24.70	24.90	26.40	24.70	0.00
21.60	24.80	25.10	26.90	24.40	0.00
21.70	24.80	25.00	26.70	24.50	0.00
21.80	24.80	25.00	26.30	24.70	0.00
21.90	24.80	25.00	26.30	24.70	0.00
22.00	24.50	24.90	26.60	24.40	0.00
22.10	24.50	24.90	26.30	24.50	0.00
22.20	24.70	25.00	26.30	24.40	0.00
22.30	24.80	25.10	26.60	24.70	0.00
22.40	24.80	25.10	26.60	24.70	0.00
22.50	24.60	25.00	26.40	24.10	0.00
22.60	24.70	25.30	26.60	24.70	0.00
22.70	24.70	25.30	26.30	24.50	0.00
22.80	24.60	24.80	26.30	24.50	0.00
22.90	24.70	25.00	26.30	24.70	0.12
23.00	24.70	25.00	26.60	24.50	30.46
23.10	24.60	25.00	27.00	24.70	37.92
23.20	24.90	25.10	26.90	24.80	44.96
23.30	24.90	25.10	27.50	24.70	48.77
23.40	25.00	25.10	27.30	24.50	50.43
23.50	25.00	25.00	27.50	24.40	51.28
23.60	25.00	25.00	27.90	24.80	51.54
23.70	25.30	25.00	27.90	24.80	51.50
23.80	25.30	25.00	27.90	24.70	51.33
23.90	25.30	25.10	28.30	24.40	51.20
24.00	25.20	25.10	28.10	24.20	50.99
24.10	25.20	25.10	28.30	24.70	50.88
24.20	25.60	25.00	28.70	24.70	50.71
24.30	25.60	25.00	28.40	24.70	50.69
24.40	25.80	25.00	28.90	24.40	50.54
24.50	25.90	24.90	29.30	24.70	50.41
24.60	26.00	25.00	29.30	24.70	50.31
24.70	26.00	25.00	29.50	24.40	50.24
24.80	26.10	25.00	29.50	24.50	50.17
24.90	26.20	25.10	29.30	24.50	50.05
25.00	26.20	25.10	29.80	24.40	49.99
25.10	26.20	25.10	29.80	24.50	49.93
25.20	26.30	25.00	30.30	24.40	49.89
25.30	26.30	25.00	30.10	24.70	49.76
25.40	26.40	25.00	30.30	24.80	49.70
25.50	26.30	24.90	30.10	24.50	49.56
25.60	26.30	24.90	30.90	24.50	49.53
25.70	26.50	25.10	30.10	24.50	49.47
25.80	26.60	25.10	30.70	24.50	49.43
25.90	26.60	25.10	31.00	24.40	49.33
26.00	26.60	24.90	31.50	24.50	49.27
26.10	26.80	25.00	31.50	24.70	49.22
26.20	26.80	25.00	31.00	24.70	49.18
26.30	26.80	25.00	31.30	24.20	49.14
26.40	26.80	25.10	31.50	24.70	49.06
26.50	26.80	25.10	32.10	24.40	48.99
26.60	26.90	25.00	31.60	24.50	48.96
26.70	26.80	25.00	32.00	24.50	48.91
26.80	26.80	25.00	32.10	24.50	48.86
26.90	27.00	25.00	32.30	24.50	48.83
27.00	27.10	25.00	32.40	24.40	49.12
27.10	27.10	25.00	32.70	24.40	50.24
27.20	27.00	24.90	32.90	24.50	50.88
27.30	27.10	24.90	32.70	24.50	51.13
27.40	27.10	24.90	32.90	24.70	51.14
27.50	27.10	25.00	33.30	24.20	51.07
27.60	27.30	25.00	33.60	24.50	51.03
27.70	27.30	25.00	33.50	24.20	50.99
27.80	27.20	25.00	34.10	24.70	50.92
27.90	27.20	24.90	33.50	24.80	50.92
28.00	27.20	24.90	34.30	24.50	50.84
28.10	27.40	24.90	34.30	25.50	50.79
28.20	27.30	25.00	34.30	25.50	50.73
28.30	27.30	25.00	34.60	24.50	50.71
28.40	27.30	25.20	34.60	24.70	50.56
28.50	27.30	24.90	34.30	24.50	50.27
28.60	27.30	24.90	34.60	24.50	49.79
28.70	27.30	24.90	34.90	24.70	49.75
28.80	27.30	25.10	34.70	24.50	49.69
28.90	27.30	25.10	34.70	24.20	49.61
29.00	27.50	25.00	35.30	24.40	49.62
29.10	27.50	25.00	35.60	24.50	49.54
29.20	27.50	25.00	35.30	24.70	49.51
29.30	27.60	25.10	35.80	24.70	49.47
29.40	27.60	25.10	36.00	24.50	49.42
29.50	27.40	25.00	35.80	24.20	49.38
29.60	27.60	25.00	36.10	24.40	49.34
29.70	27.60	25.00	36.30	24.70	49.33
29.80	27.60	25.00	36.60	24.50	49.24
29.90	27.50	25.00	36.60	24.50	49.23
30.00	27.50	25.00	36.40	24.50	49.21
30.10	27.60	25.00	36.60	24.40	49.15
30.20	27.80	25.10	37.00	24.70	49.11
30.30	27.80	25.10	36.90	24.70	49.09
30.40	27.70	25.00	37.30	24.70	49.09
30.50	27.60	25.00	37.00	24.40	49.56
30.60	27.60	25.00	37.30	24.40	50.02
30.70	27.60	25.00	37.60	24.50	50.46
30.80	27.70	25.00	37.60	24.50	50.58
30.90	27.70	25.00	37.80	24.50	50.58
31.00	27.70	25.00	38.00	24.80	50.57
31.10	27.60	25.00	38.90	24.50	50.49
31.20	27.60	25.00	38.10	25.00	50.47
31.30	27.60	25.00	38.60	24.40	50.40
31.40	27.80	24.90	38.60	24.20	50.30
31.50	27.80	24.90	38.70	24.50	50.26
31.60	27.80	24.90	39.20	25.00	50.27
31.70	27.90	24.90	39.20	25.00	50.21
31.80	27.90	24.90	39.00	24.50	50.19
31.90	27.80	24.90	39.50	24.40	50.17
32.00	27.80	24.90	38.90	24.70	50.10
32.10	27.80	24.90	39.50	24.50	50.01
32.20	27.80	25.00	39.60	24.50	49.99
32.30	27.80	25.00	39.80	24.50	49.96
32.40	28.00	25.00	39.50	24.50	49.88
32.50	27.90	25.00	39.80	24.50	49.86
32.60	28.00	25.00	39.80	24.50	49.81
32.70	28.00	25.00	40.10	24.40	49.76
32.80	27.80	25.00	40.10	24.50	49.76
32.90	27.90	24.90	40.40	24.80	49.62
33.00	27.90	24.90	40.70	24.40	49.61
33.10	28.00	25.00	40.70	24.40	49.59
33.20	28.00	25.00	40.70	24.80	49.53
33.30	28.00	25.00	41.00	24.40	49.49
33.40	27.90	25.00	41.20	24.50	49.46
33.50	27.90	25.00	41.20	24.50	49.37
33.60	28.00	25.00	41.20	24.40	49.35
33.70	28.00	25.00	41.60	24.40	49.30
33.80	28.00	25.00	41.60	24.40	46.44
33.90	28.00	24.90	41.30	24.70	47.21
34.00	28.00	25.00	41.00	24.50	47.94
34.10	27.90	25.00	41.20	24.10	47.86
34.20	27.90	25.00	41.30	24.50	47.61
34.30	27.70	24.90	41.30	24.80	47.23
34.40	27.70	25.00	41.00	24.50	45.81
34.50	27.70	25.00	41.20	24.70	44.84
34.60	27.50	25.00	40.70	24.50	24.38
34.70	27.50	25.00	40.70	24.70	13.66
34.80	27.50	25.00	41.80	24.70	10.34
34.90	27.40	25.00	40.70	24.50	8.26
35.00	27.40	25.00	41.00	24.40	6.77
35.10	27.20	25.10	41.00	24.40	5.66
35.20	27.10	24.80	41.00	24.40	4.78
35.30	27.10	24.80	41.20	24.50	4.06
35.40	27.00	25.00	41.20	24.40	3.50
35.50	27.00	25.00	40.90	24.20	3.02
35.60	26.80	25.00	40.90	24.40	2.68
35.70	26.80	25.00	41.30	24.70	2.34
35.80	26.80	25.00	41.30	24.40	2.13
35.90	26.80	25.00	41.20	25.00	1.93
36.00	26.80	25.00	41.20	24.20	1.70
36.10	26.70	25.00	41.20	24.20	1.53
36.20	26.70	25.00	40.90	24.70	1.42
36.30	26.30	24.90	41.00	24.50	1.24
36.40	26.70	24.90	41.00	24.70	1.14
36.50	26.70	24.90	40.90	24.10	1.02
36.60	26.60	25.20	40.90	24.80	0.91
36.70	26.50	25.10	40.60	24.40	0.79
36.80	26.40	25.00	40.60	24.50	0.73
36.90	26.40	25.00	40.90	24.70	0.69
37.00	26.30	25.00	40.90	24.70	0.64
37.10	26.20	24.90	40.90	24.80	0.59
37.20	26.20	24.90	40.70	24.40	0.53
37.30	26.10	24.90	41.00	24.40	0.50
37.40	26.40	24.90	40.70	24.50	0.45
37.50	26.40	24.90	41.00	24.70	0.41
37.60	26.20	25.00	41.00	24.20	0.41
37.70	26.20	25.10	40.90	24.50	0.36
37.80	26.20	25.10	40.70	24.50	0.31
37.90	26.20	24.90	40.70	24.50	0.28
38.00	26.20	24.90	41.20	24.20	0.28
38.10	26.20	24.90	40.90	24.70	0.31
38.20	26.10	25.00	40.70	24.40	0.26
38.30	26.10	25.00	40.70	24.70	0.26
38.40	26.10	25.00	41.00	24.20	0.26
38.50	26.00	24.90	41.00	24.40	0.22
38.60	26.00	25.00	40.90	24.70	0.21
38.70	26.00	25.00	41.00	24.40	0.17
38.80	26.10	25.00	41.00	24.40	0.19
38.90	26.10	24.90	40.40	24.20	0.19
39.00	26.10	24.90	40.70	24.80	0.25
39.10	26.00	24.90	40.70	24.70	0.17
39.20	26.00	25.00	40.90	24.80	0.15
39.30	26.00	25.00	40.90	24.50	0.12
39.40	26.00	25.10	40.70	24.50	0.13
39.50	25.90	25.00	41.20	24.50	0.13
39.60	25.90	25.00	40.60	24.20	0.13
39.70	26.00	25.10	40.60	24.20	0.13
39.80	25.80	24.90	41.00	24.40	0.15
39.90	25.80	24.90	41.00	24.70	0.09
40.00	25.80	25.00	40.60	24.50	0.09
40.10	25.80	24.90	40.30	24.40	0.09
40.20	25.80	24.90	40.90	24.50	0.09
40.30	25.90	25.00	41.20	24.50	0.06
40.40	25.70	24.90	40.70	24.70	0.07
40.50	25.70	24.90	40.70	23.90	0.09
40.60	25.70	25.00	40.70	23.90	0.04
40.70	25.70	25.00	40.70	24.70	0.07
40.80	25.70	25.00	40.30	24.50	0.07
40.90	25.90	24.90	41.20	24.70	0.06
41.00	25.80	25.00	40.40	24.50	0.07
41.10	25.80	25.00	40.70	24.50	0.07
41.20	25.80	24.80	40.00	24.70	0.06
41.30	25.70	25.10	40.40	24.40	0.04
41.40	25.70	25.10	40.70	24.50	0.04
41.50	25.80	25.00	40.70	24.50	0.04
41.60	25.70	25.00	40.70	24.70	0.02
41.70	25.70	25.00	40.40	24.50	0.04
41.80	25.70	25.00	40.70	24.70	0.07
41.90	25.80	25.00	40.90	23.90	0.04
42.00	25.80	25.00	40.60	24.40	0.06
42.10	25.70	25.10	40.60	24.50	0.07
42.20	25.60	24.80	40.90	24.70	0.02
42.30	25.60	25.00	40.90	24.70	0.04
42.40	25.60	25.00	41.00	24.20	0.04
42.50	25.80	25.00	41.00	24.70	0.04
42.60	25.80	25.00	41.00	24.50	0.07
42.70	25.60	25.00	40.60	24.40	0.04
42.80	25.60	25.00	40.60	24.50	0.07
42.90	25.80	25.10	40.90	24.40	0.07
43.00	25.80	25.10	41.00	24.40	0.04
43.10	25.60	25.00	40.90	25.00	0.04
43.20	25.60	25.00	40.90	24.50	0.07
43.30	25.60	24.90	40.40	24.70	0.04
43.40	25.60	25.00	40.70	24.40	0.04
43.50	25.60	25.00	40.90	24.70	0.04
43.60	25.50	24.90	40.60	24.40	0.04
43.70	25.80	24.90	40.70	24.70	0.00
43.80	25.80	24.90	40.90	24.40	0.00
43.90	25.60	24.90	41.20	24.80	0.00
44.00	25.40	25.10	40.70	24.70	0.02
44.10	25.40	25.10	40.70	24.50	0.04
44.20	25.50	25.00	40.70	23.90	0.00
44.30	25.50	25.00	40.90	24.50	0.00
44.40	25.70	25.00	40.40	25.00	0.00
44.50	25.70	25.00	40.60	24.50	0.04
44.60	25.50	25.00	40.90	24.80	0.02
44.70	25.40	25.00	40.40	24.50	0.00
44.80	25.40	25.00	41.00	24.50	0.00
44.90	25.50	24.90	40.40	24.40	0.00
45.00	25.50	24.90	40.40	24.40	0.00
45.10	25.50	24.90	41.00	24.20	0.00
45.20	25.50	25.10	40.90	24.20	0.00
45.30	25.50	25.10	41.00	24.50	0.00
45.40	25.50	25.00	40.90	24.80	0.00
45.50	25.40	25.10	40.70	24.70	0.00
45.60	25.40	25.10	40.90	24.80	0.00
45.70	25.40	24.90	41.00	24.40	0.00
45.80	25.50	24.90	40.70	24.70	0.00
45.90	25.50	24.90	40.70	24.70	0.00
46.00	25.50	25.00	40.90	24.70	0.00
46.10	25.50	25.00	40.70	24.70	0.00
46.20	25.50	25.00	40.90	24.40	0.00
46.30	25.40	24.90	40.70	24.50	0.00
46.40	25.40	25.00	40.60	24.40	0.00
46.50	25.40	25.00	41.00	24.80	0.00
46.60	25.50	24.90	40.60	24.20	0.00
46.70	25.50	25.00	40.60	24.50	0.00
46.80	25.50	25.00	40.60	24.50	0.00
46.90	25.40	25.00	40.90	24.40	0.00
47.00	25.50	24.90	40.40	24.20	0.00
47.10	25.50	24.90	40.90	24.70	0.00
47.20	25.50	25.00	40.40	24.50	0.00
47.30	25.50	25.00	40.70	24.70	0.00
47.40	25.30	25.00	40.70	24.20	0.00
47.50	25.40	25.00	41.20	24.80	0.00
47.60	25.40	25.00	40.10	24.70	0.00
47.70	25.40	25.00	40.10	24.70	0.00
47.80	25.30	24.90	40.70	24.20	0.00
47.90	25.30	24.90	41.00	24.80	0.00
48.00	25.40	25.00	41.00	24.40	0.00
48.10	25.30	24.90	40.70	24.20	0.00
48.20	25.30	24.90	40.40	24.70	0.00
48.30	25.30	24.80	40.70	24.70	0.00
48.40	25.40	25.00	40.70	24.70	0.00
48.50	25.40	25.00	40.60	25.00	0.00
48.60	25.50	25.00	40.60	25.00	0.00
48.70	25.40	25.00	40.60	24.50	0.00
48.80	25.40	25.00	41.00	24.10	0.00
48.90	25.40	24.90	40.90	24.80	0.00
49.00	25.40	25.00	40.90	24.80	0.00
49.10	25.40	25.00	40.90	24.40	0.00
49.20	25.40	24.90	40.70	24.50	0.00
49.30	25.50	25.10	40.70	24.70	0.00
49.40	25.50	25.10	39.60	24.50	0.00
49.50	25.40	24.90	39.60	24.50	0.00
49.60	25.20	24.90	41.00	24.50	0.00
49.70	25.20	24.90	40.60	24.50	0.00
49.80	25.50	25.10	40.30	24.80	0.00
49.90	25.40	25.00	40.60	24.20	0.00
50.00	25.40	25.00	40.30	24.20	0.00
50.10	25.10	25.00	40.60	24.50	0.00
50.20	25.20	24.90	40.90	24.40	0.00
50.30	25.20	24.90	40.40	24.50	0.00
50.40	25.30	24.90	40.40	24.50	0.00
50.50	25.30	25.00	40.70	24.50	0.00
50.60	25.30	25.00	40.70	24.50	0.00
50.70	25.20	24.90	40.70	24.40	0.00
50.80	25.30	24.90	41.00	24.20	0.00
50.90	25.30	24.90	40.40	24.70	0.00
51.00	25.30	25.10	40.90	24.40	0.00
51.10	25.20	24.90	40.60	24.70	0.00
51.20	25.20	24.90	40.60	24.70	0.00
51.30	25.30	25.10	40.60	24.70	0.00
51.40	25.30	25.10	40.70	24.50	0.00
51.50	25.20	24.90	40.60	24.70	0.00
51.60	25.10	25.00	41.20	24.50	0.00
51.70	25.10	25.00	40.90	24.70	0.00
51.80	25.30	25.10	40.90	24.50	0.00
51.90	25.20	25.00	40.90	24.50	0.00
52.00	25.30	25.10	40.40	24.50	0.00
52.10	25.30	25.10	40.40	24.50	0.00
52.20	25.20	24.90	40.40	24.50	0.00
52.30	25.20	24.90	40.60	24.50	0.00
52.40	25.30	25.00	41.00	24.40	0.00
52.50	25.30	24.90	40.70	24.50	0.00
52.60	25.20	24.90	40.70	24.50	0.00
52.70	25.20	24.90	40.70	24.70	0.00
52.80	25.20	25.00	40.30	24.50	0.00
52.90	25.20	25.00	40.70	24.20	0.00
53.00	25.30	25.00	40.90	24.70	0.00
53.10	25.40	25.00	40.90	24.70	0.00
53.20	25.40	25.00	40.70	24.50	0.00
53.30	25.40	24.90	40.60	24.70	0.00
53.40	25.20	25.10	40.40	24.70	0.00
53.50	25.10	25.00	40.70	24.40	0.00
53.60	25.10	25.00	40.60	24.20	0.00
53.70	25.20	24.90	40.70	24.50	0.00
53.80	25.20	24.90	40.70	24.70	0.00
53.90	25.10	24.90	40.70	24.50	0.00
54.00	25.10	24.80	40.70	24.50	0.00
54.10	25.20	24.90	40.70	24.70	0.00
54.20	25.20	24.90	40.60	24.50	0.00
54.30	25.20	25.00	41.00	24.50	0.00
54.40	25.00	25.00	40.70	24.50	0.00
54.50	25.00	25.00	40.70	24.40	0.00
54.60	25.30	25.10	40.40	24.80	0.00
54.70	25.20	24.90	40.60	24.40	0.00
54.80	25.20	24.90	40.70	24.40	0.00
54.90	25.30	24.80	40.70	24.40	0.00
55.00	25.30	24.80	40.60	24.10	0.00
55.10	25.20	24.90	40.40	24.80	0.00
55.20	25.10	24.90	41.20	24.70	0.00
55.30	25.20	25.00	40.70	24.50	0.00
55.40	25.20	25.00	41.00	24.20	0.00
55.50	25.20	24.90	40.70	24.20	0.00
55.60	25.10	25.10	40.30	24.40	0.00
55.70	25.10	25.10	40.60	24.50	0.00
55.80	25.20	24.90	40.60	24.50	0.00
55.90	25.20	24.90	40.40	24.40	0.00
56.00	25.00	24.80	40.70	24.70	0.00
56.10	25.10	24.80	40.70	24.40	0.00
56.20	25.10	24.80	40.90	24.40	0.00
56.30	25.10	25.00	41.00	24.50	0.00
56.40	25.10	25.00	41.00	25.00	0.00
56.50	25.10	25.00	40.90	24.70	0.00
56.60	25.10	25.00	40.60	24.40	0.00
56.70	25.10	25.00	40.60	24.40	0.00
56.80	25.20	24.90	40.60	24.10	0.00
56.90	25.10	24.90	40.70	24.50	0.00
57.00	25.10	24.90	40.90	24.50	0.00
57.10	25.20	25.00	40.60	24.50	0.00
57.20	25.20	25.00	40.70	24.40	0.00
57.30	25.10	25.00	40.70	24.40	0.00
57.40	25.20	25.00	40.40	24.50	0.00
57.50	25.20	25.00	40.90	24.80	0.00
57.60	25.20	25.00	40.90	24.80	0.00
57.70	25.00	25.00	41.00	24.40	0.00
57.80	25.00	25.00	40.70	24.50	0.00
